id,pc_class,age,gender,survived
1,1,29.0,female,t
2,1,2.0,female,f
3,1,30.0,male,f
4,1,25.0,female,f
5,1,0.92,male,t
6,1,47.0,male,t
7,1,63.0,female,t
8,1,39.0,male,f
9,1,58.0,female,t
10,1,71.0,male,f
11,1,47.0,male,f
12,1,19.0,female,t
16,1,50.0,female,t
17,1,24.0,male,f
18,1,36.0,male,f
19,1,37.0,male,t
20,1,47.0,female,t
21,1,26.0,male,t
22,1,25.0,male,f
23,1,25.0,male,t
24,1,19.0,female,t
25,1,28.0,male,t
26,1,45.0,male,f
27,1,39.0,male,t
28,1,30.0,female,t
29,1,58.0,female,t
31,1,45.0,female,t
32,1,22.0,female,t
34,1,41.0,male,f
35,1,48.0,male,f
37,1,44.0,female,t
38,1,59.0,female,t
39,1,60.0,female,t
40,1,45.0,male,f
42,1,53.0,female,t
43,1,58.0,female,t
44,1,36.0,male,t
45,1,33.0,male,f
48,1,36.0,male,t
49,1,36.0,female,t
50,1,14.0,female,t
51,1,11.0,male,t
52,1,49.0,male,f
54,1,36.0,male,f
56,1,46.0,male,f
57,1,47.0,female,t
58,1,27.0,male,t
59,1,31.0,female,t
64,1,27.0,male,f
65,1,26.0,female,t
68,1,64.0,female,t
69,1,37.0,male,f
70,1,39.0,female,t
71,1,55.0,female,t
73,1,70.0,male,f
74,1,69.0,female,t
75,1,36.0,female,t
76,1,39.0,male,f
77,1,38.0,female,t
79,1,27.0,male,t
80,1,31.0,male,f
81,1,27.0,female,t
83,1,31.0,male,t
84,1,17.0,female,t
87,1,4.0,male,t
88,1,27.0,female,t
89,1,50.0,male,f
90,1,48.0,female,t
91,1,49.0,male,t
92,1,48.0,female,t
93,1,39.0,male,f
94,1,23.0,female,t
95,1,53.0,female,t
96,1,36.0,female,f
99,1,30.0,male,f
100,1,24.0,female,t
101,1,19.0,male,f
102,1,28.0,female,t
103,1,23.0,female,t
104,1,64.0,male,f
105,1,60.0,female,t
107,1,49.0,male,t
109,1,44.0,male,t
110,1,22.0,female,t
111,1,60.0,male,t
112,1,48.0,female,t
113,1,37.0,male,f
114,1,35.0,female,t
115,1,47.0,male,f
116,1,22.0,female,t
117,1,45.0,female,t
118,1,49.0,male,t
120,1,71.0,male,f
121,1,54.0,male,t
122,1,38.0,male,f
123,1,19.0,female,t
124,1,58.0,female,t
125,1,45.0,female,t
126,1,23.0,male,t
127,1,46.0,male,f
128,1,25.0,male,t
129,1,21.0,female,t
130,1,48.0,male,t
131,1,49.0,female,t
132,1,45.0,male,f
133,1,36.0,female,t
135,1,55.0,male,f
136,1,52.0,female,t
137,1,24.0,female,t
141,1,16.0,female,t
142,1,44.0,female,t
143,1,51.0,female,t
144,1,42.0,male,f
145,1,35.0,female,t
146,1,35.0,male,t
147,1,38.0,male,t
148,1,35.0,female,t
150,1,50.0,female,f
151,1,49.0,male,t
152,1,46.0,male,f
154,1,58.0,male,f
155,1,41.0,male,f
157,1,42.0,male,t
158,1,40.0,female,t
162,1,42.0,male,f
163,1,55.0,female,t
164,1,50.0,female,t
165,1,16.0,female,t
167,1,29.0,male,f
168,1,21.0,female,t
169,1,30.0,male,f
170,1,15.0,female,t
171,1,30.0,male,f
175,1,46.0,male,f
176,1,54.0,male,f
177,1,36.0,male,t
178,1,28.0,male,f
180,1,65.0,male,f
181,1,33.0,female,t
182,1,44.0,male,f
183,1,37.0,female,t
185,1,55.0,male,f
186,1,47.0,male,f
187,1,36.0,male,f
188,1,58.0,male,f
189,1,31.0,female,t
190,1,23.0,female,t
191,1,19.0,female,t
192,1,64.0,male,f
194,1,64.0,male,f
195,1,22.0,female,t
196,1,28.0,male,f
199,1,22.0,male,f
202,1,18.0,male,f
203,1,17.0,female,t
204,1,52.0,male,t
205,1,46.0,male,f
206,1,56.0,female,t
209,1,43.0,female,t
210,1,31.0,male,f
213,1,33.0,female,t
215,1,27.0,female,t
216,1,55.0,male,f
217,1,54.0,female,t
219,1,61.0,male,f
220,1,48.0,female,t
221,1,18.0,female,t
222,1,13.0,male,t
223,1,21.0,female,t
227,1,34.0,male,t
228,1,40.0,female,t
229,1,36.0,male,t
230,1,50.0,male,f
231,1,39.0,female,t
232,1,56.0,male,t
233,1,28.0,male,t
234,1,56.0,male,f
235,1,56.0,male,f
236,1,24.0,male,f
237,1,18.0,female,t
239,1,24.0,male,t
240,1,23.0,female,t
241,1,45.0,male,t
242,1,40.0,female,t
243,1,6.0,male,t
244,1,57.0,male,f
246,1,32.0,male,t
247,1,62.0,male,f
248,1,54.0,male,t
249,1,43.0,female,t
250,1,52.0,female,t
252,1,62.0,female,t
253,1,67.0,male,f
254,1,63.0,female,f
255,1,61.0,male,f
