car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,model,power_to_weight_ratio,wheelbase_squared,carlength_squared,carwidth_squared,carheight_squared,curbweight_squared,enginesize_squared,boreratio_squared,stroke_squared,compressionratio_squared,horsepower_squared,peakrpm_squared,citympg_squared,highwaympg_squared,log_enginesize
1,3,alfa-romero giulia,1,0,1,0,2,0,-1.6907718018201774,-0.426521468357013,-0.8447823517277104,-2.020417304464712,-0.0145662821379261,0,2,0.0744489251157203,5,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.174482779162534,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,13495.0,1,79,0.0435635792778649,7849.959999999999,28493.44,4108.81,2381.44,6492304,16900,12.0409,7.182400000000001,81.0,12321,25000000,441,729,4.875197323201151
2,3,alfa-romero stelvio,1,0,1,0,2,0,-1.6907718018201774,-0.426521468357013,-0.8447823517277104,-2.020417304464712,-0.0145662821379261,0,2,0.0744489251157203,5,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.174482779162534,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,16500.0,1,123,0.0435635792778649,7849.959999999999,28493.44,4108.81,2381.44,6492304,16900,12.0409,7.182400000000001,81.0,12321,25000000,441,729,4.875197323201151
3,1,alfa-romero Quadrifoglio,1,0,1,2,2,0,-0.7085958764076113,-0.2315130468054372,-0.1905661214366869,-0.5435274761218468,0.5148819161377617,5,3,0.6040461684467903,5,-2.404880294774036,0.6859461601154123,-0.2883489098618655,1.2645364278639772,-0.2629602160773477,-0.9530116883199848,-0.6916270607851575,16500.0,1,29,0.0545518951470067,8930.25,29309.439999999995,4290.25,2745.76,7969329,23104,7.182400000000001,12.0409,81.0,23716,25000000,361,676,5.030437921392435
4,2,audi 100 ls,1,0,0,3,1,0,0.1736977515053703,0.2072559016856128,0.1365419937088248,0.2359421555035534,-0.4207974451785447,3,2,-0.4310757162457556,5,-0.5172659192588284,0.4621833186137945,-0.0359728253187763,-0.0536679845191633,0.7878554622044521,-0.1868650369254871,-0.109353765257612,13950.0,2,1,0.0436456996148908,9960.04,31187.56,4382.4400000000005,2948.49,5461569,11881,10.1761,11.56,100.0,10404,30250000,576,900,4.700480365792417
5,2,audi 100ls,1,0,0,3,0,0,0.1071095531723165,0.2072559016856128,0.2300014551789719,0.2359421555035534,0.5168071823133096,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.5407249944049548,0.2758831185766218,0.7878554622044521,-1.1062410185988842,-1.273900356312703,17450.0,2,2,0.0407223796033994,9880.36,31187.56,4408.960000000001,2948.49,7974976,18496,10.1761,11.56,64.0,13225,30250000,324,484,4.919980925828125
6,2,audi fox,1,0,1,3,1,0,0.1736977515053703,0.2641333579714909,0.183271724443895,-0.2563544539440664,-0.0935021953353923,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.4145369521334101,0.1491326943090121,0.7878554622044521,-0.9530116883199848,-0.8371953846670438,15250.0,2,74,0.0438771439968089,9960.04,31435.290000000005,4395.69,2819.61,6285049,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980925828125
7,1,audi 100ls,1,0,0,3,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.5553125058242687,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.4145369521334101,0.1491326943090121,0.7878554622044521,-0.9530116883199848,-0.8371953846670438,17710.0,2,2,0.0386779184247538,11193.64,37133.28999999999,5097.960000000001,3102.49,8088336,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980925828125
8,1,audi 5000,1,0,0,4,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.7670917851345438,3,1,0.2188845369332848,5,-0.5172659192588284,0.4621833186137945,-0.4145369521334101,0.1491326943090121,0.7878554622044521,-0.9530116883199848,-0.8371953846670438,18920.0,2,16,0.0372376438727149,11193.64,37133.28999999999,5097.960000000001,3102.49,8726116,18496,10.1761,11.56,72.25,12100,30250000,361,625,4.919980925828125
9,1,audi 4000,1,1,0,3,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8923376347670494,1.021226920306874,3,1,0.0985215270853143,5,-0.7393381987312061,0.4621833186137945,-0.4650121690420278,0.9096352399146702,0.7878554622044521,-1.2594703488777836,-1.5650370040764756,23875.0,2,13,0.0453661697990926,11193.64,37133.28999999999,5097.960000000001,3124.81,9523396,17161,9.7969,11.56,68.89000000000001,19600,30250000,289,400,4.882801922586371
10,0,audi 5000s (diesel),1,1,1,2,0,0,0.1237566027555793,0.3372615160533307,0.9309474162050656,-0.7076263459377201,0.9576931365137914,3,1,0.0985215270853143,5,-0.7393381987312061,0.4621833186137945,-0.7931010789480439,1.4166369369851088,0.7878554622044521,-1.4126996791566833,-1.273900356312703,17859.167,2,17,0.0524074680641991,9900.25,31755.239999999994,4610.410000000001,2704.0,9320809,17161,9.7969,11.56,49.0,25600,30250000,256,484,4.882801922586371
