Year,News Source,Percentage,Yearvalue
2001,Television,74,2000-12-31
2001,Newspaper,45,2000-12-31
2001,Radio,18,2000-12-31
2001,Internet,13,2000-12-31
2002,Television,82,2002-01-01
2002,Newspaper,42,2002-01-01
2002,Radio,21,2002-01-01
2002,Internet,14,2002-01-01
2003,Television,80,2003-01-01
2003,Newspaper,50,2003-01-01
2003,Radio,18,2003-01-01
2003,Internet,20,2003-01-01
2004,Television,74,2004-01-01
2004,Newspaper,46,2004-01-01
2004,Radio,21,2004-01-01
2004,Internet,24,2004-01-01
2005,Television,73,2005-01-01
2005,Newspaper,36,2005-01-01
2005,Radio,16,2005-01-01
2005,Internet,20,2005-01-01
2006,Television,72,2006-01-01
2006,Newspaper,36,2006-01-01
2006,Radio,14,2006-01-01
2006,Internet,24,2006-01-01
2007,Television,74,2007-01-01
2007,Newspaper,34,2007-01-01
2007,Radio,13,2007-01-01
2007,Internet,24,2007-01-01
2008,Television,70,2008-01-01
2008,Newspaper,35,2008-01-01
2008,Radio,18,2008-01-01
2008,Internet,40,2008-01-01
2009,Television,70,2009-01-01
2009,Newspaper,32,2009-01-01
2009,Radio,17,2009-01-01
2009,Internet,35,2009-01-01
2010,Television,66,2010-01-01
2010,Newspaper,31,2010-01-01
2010,Radio,16,2010-01-01
2010,Internet,41,2010-01-01
