Country,Type,Medal Count
United States,Gold,39
United States,Silver,41
United States,Bronze,33
United States,Total,113
China,Gold,38
China,Silver,32
China,Bronze,19
China,Total,89
ROC,Gold,20
ROC,Silver,28
ROC,Bronze,23
ROC,Total,71
Great Britain,Gold,22
Great Britain,Silver,20
Great Britain,Bronze,22
Great Britain,Total,64
Japan,Gold,27
Japan,Silver,14
Japan,Bronze,17
Japan,Total,58
Australia,Gold,17
Australia,Silver,7
Australia,Bronze,22
Australia,Total,46
Italy,Gold,10
Italy,Silver,10
Italy,Bronze,20
Italy,Total,40
Germany,Gold,10
Germany,Silver,11
Germany,Bronze,16
Germany,Total,37
Netherlands,Gold,10
Netherlands,Silver,12
Netherlands,Bronze,14
Netherlands,Total,36
France,Gold,10
France,Silver,12
France,Bronze,11
France,Total,33
