Apps,Percentage of US teens using apps,Frequency of Usage
YouTube,16,Almost constantly
YouTube,38,Several times a day
YouTube,17,About once a day
TikTok,17,Almost constantly
TikTok,32,Several times a day
TikTok,9,About once a day
Snapchat,14,Almost constantly
Snapchat,29,Several times a day
Snapchat,8,About once a day
Instagram,8,Almost constantly
Instagram,27,Several times a day
Instagram,12,About once a day
Facebook,3,Almost constantly
Facebook,8,Several times a day
Facebook,8,About once a day
